Decrease,Distance from Center,Mins to Event
7.692,321.247,60
7.692,316.964,60
1.887,715.408,60
1.887,1156.385,60
42.857,2159.491,60
4.000,715.393,60
6.818,713.493,60
6.818,959.393,60
6.818,1321.314,60
14.634,2341.609,60
6.977,1606.006,60
6.818,1153.984,60
6.818,1152.824,60
6.818,1319.244,60
6.818,1601.837,60
14.634,2591.156,60
6.818,1600.081,60
6.818,1723.868,60
1.852,2890.722,60
1.852,2587.941,60
63.333,2891.007,90
4.545,2594.824,90
4.545,2252.598,90
12.000,1956.874,90
75.000,2590.287,90
12.000,2344.509,90
12.000,1959.016,90
46.341,1954.233,90
12.000,2161.377,90
5.357,2155.720,90
2.000,717.305,90
1.695,2056.767,90
21.739,713.493,90
19.565,959.393,90
21.739,1321.314,90
1.695,1727.827,90
1.724,2153.828,90
19.565,1153.984,90
21.739,1152.824,90
19.565,1319.244,90
21.739,1601.837,90
1.724,2336.464,90
6.977,1600.898,90
21.739,1600.081,90
19.565,1723.868,90
1.724,1948.655,90
1.515,2592.662,150
52.000,2155.562,150
52.000,2056.656,150
52.000,2056.040,150
1.538,1612.009,150
1.538,2062.739,150
1.538,1611.166,150
1.538,1162.280,150
1.563,2159.491,150
1.538,1733.316,150
1.538,1326.440,150
1.563,2341.609,150
1.563,1955.545,150
1.563,1606.006,150
1.587,2336.464,150
3.077,2586.611,150
1.538,2886.772,150
1.515,2592.662,180
1.563,2159.491,180
1.538,1326.440,180
1.563,2341.609,180
1.563,1955.545,180
1.563,1606.006,180
1.538,2591.156,180
1.563,2248.371,180
1.429,2890.722,180
1.429,2587.941,180
1.538,2886.772,180
1.493,2344.509,210
25.000,719.185,210
25.000,963.633,210
25.000,1324.397,210
25.000,321.223,210
25.000,717.305,210
25.000,1157.560,210
42.308,721.117,210
42.308,321.247,210
1.563,2159.491,210
42.308,963.627,210
42.308,715.393,210
1.563,2341.609,210
1.563,1955.545,210
1.563,1606.006,210
1.613,2336.464,210
1.538,2591.156,210
1.563,2248.371,210
1.429,2890.722,210
1.429,2587.941,210
3.077,2252.598,240
1.538,1956.874,240
1.538,1612.009,240
1.538,2062.739,240
1.538,1611.166,240
1.538,1162.280,240
1.538,1733.316,240
1.538,1326.440,240
32.759,2248.532,-120
32.759,1606.074,-120
32.759,1954.233,-120
32.759,2339.371,-120
32.759,1730.185,-120
1.449,2063.398,-120
1.538,1612.009,-120
1.538,2062.739,-120
1.538,1611.166,-120
1.538,1162.280,-120
23.077,721.117,-120
23.077,321.247,-120
3.125,2159.491,-120
1.538,1733.316,-120
1.538,1326.440,-120
23.077,963.627,-120
23.077,715.393,-120
3.125,2341.609,-120
3.125,1955.545,-120
3.125,1606.006,-120
3.077,2591.156,-120
3.125,2248.371,-120
1.429,2890.722,-120
1.429,2587.941,-120
1.538,2886.772,-120
1.724,2337.618,-90
1.493,2594.824,-90
21.622,1731.643,-90
21.622,1606.829,-90
1.724,1953.531,-90
41.379,2248.532,-90
29.630,1158.703,-90
41.379,1606.074,-90
41.379,1954.233,-90
41.379,2339.371,-90
41.379,1730.185,-90
45.763,2155.720,-90
45.763,1606.063,-90
59.322,2057.427,-90
19.231,721.117,-90
19.231,321.247,-90
60.000,2056.767,-90
19.231,963.627,-90
19.231,715.393,-90
60.000,2153.828,-90
44.828,1152.824,-90
44.828,1319.244,-90
44.828,1601.837,-90
44.828,1950.752,-90
18.519,0.000,-60
1.515,2592.662,-60
